datetime,temp
2021-12-01,14.2
2021-12-02,13.1
2021-12-03,14.9
2021-12-04,14.6
2021-12-05,13.3
2021-12-06,14.9
2021-12-07,16.2
2021-12-08,13.8
2021-12-09,15
2021-12-10,16.5
2021-12-11,14.5
2021-12-12,16.1
2021-12-13,17.9
2021-12-14,16.8
2021-12-15,16.1
2021-12-16,15.1
2021-12-17,16.1
2021-12-18,18.9
2021-12-19,19.7
2021-12-20,19.2
2021-12-21,18.6
2021-12-22,19.4
2021-12-23,18.3
2021-12-24,18.4
2021-12-25,16.3
2021-12-26,16.7
2021-12-27,16.6
2021-12-28,18
2021-12-29,20.4
2021-12-30,20.6
2021-12-31,19.9
2022-01-01,19.6
2022-01-02,18.4
2022-01-03,17.8
2022-01-04,16.5
2022-01-05,13.6
2022-01-06,14
2022-01-07,15
2022-01-08,16
2022-01-09,15.6
2022-01-10,13.6
2022-01-11,14.3
2022-01-12,14.8
2022-01-13,16.1
2022-01-14,15
2022-01-15,13.7
2022-01-16,14.2
2022-01-17,14.7
2022-01-18,15.1
2022-01-19,15.1
2022-01-20,16
2022-01-21,17.4
2022-01-22,19.4
2022-01-23,18.8
2022-01-24,13.6
2022-01-25,13.4
2022-01-26,12.3
2022-01-27,13.4
2022-01-28,15.7
2022-01-29,16.1
2022-01-30,18.8
2022-01-31,19.2
2022-02-01,19.4
2022-02-02,20.5
2022-02-03,19.9
2022-02-04,19.2
2022-02-05,19.4
2022-02-06,19.2
2022-02-07,20.5
2022-02-08,20.1
2022-02-09,19.3
2022-02-10,18
2022-02-11,16.7
2022-02-12,14.8
2022-02-13,14.6
2022-02-14,13.8
2022-02-15,14.4
2022-02-16,17.2
2022-02-17,16.6
2022-02-18,14.9
2022-02-19,13
2022-02-20,13.1
2022-02-21,15.4
2022-02-22,22.1
2022-02-23,21.8
2022-02-24,22.3
2022-02-25,17.4
2022-02-26,15.6
2022-02-27,15.8
2022-02-28,17.5
2022-03-01,18
2022-03-02,15.9
2022-03-03,14.9
2022-03-04,13.7
2022-03-05,13.2
2022-03-06,12
2022-03-07,12.8
2022-03-08,13.3
2022-03-09,14.7
2022-03-10,14.3
2022-03-11,14.2
2022-03-12,14.3
2022-03-13,14.3
2022-03-14,11.1
2022-03-15,9.6
2022-03-16,12.7
2022-03-17,14.1
2022-03-18,15.5
2022-03-19,16.3
2022-03-20,16.1
2022-03-21,14.4
2022-03-22,14.6
2022-03-23,13.6
2022-03-24,12
2022-03-25,13.7
2022-03-26,14.4
2022-03-27,20.5
2022-03-28,18
2022-03-29,16
2022-03-30,14.4
2022-03-31,14.4
2022-04-01,15.8
2022-04-02,16.3
2022-04-03,15.2
2022-04-04,14.2
2022-04-05,12.7
